"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1278700077872226307","https://twitter.com/dsunderhood/status/1278700077872226307","Там несколько разных проектов. Самый успешный и известный -- это должно быть Lacmus, которые помогают искать потерянных людей с помощью компьютерного зрения.","2020-07-02 14:40 +0000","859.0","5.0","0.005820721769499418","1.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278699830827769856","https://twitter.com/dsunderhood/status/1278699830827769856","Тут новое действующее лицо: проект OSD ML for Social Good. Если раньше не слышали -- это внутри ОДС движуха со всякми некоммерческими проектами во имя добра.","2020-07-02 14:39 +0000","792.0","6.0","0.007575757575757576","0.0","1.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278698402491088897","https://twitter.com/dsunderhood/status/1278698402491088897","И вообще для факторизаций матриц. А там и до двудольных графов недалеко. Графы мои графы.","2020-07-02 14:33 +0000","831.0","4.0","0.0048134777376654635","0.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278697513348927491","https://twitter.com/dsunderhood/status/1278697513348927491","На самом деле модель достаточно общая, чтобы вместо слов с документами применить её на что угодно. Например вместо документов юзеры, вместо слов их корзины. Тогда темами будут типичные профили пользователей.","2020-07-02 14:30 +0000","844.0","5.0","0.005924170616113744","0.0","1.0","2.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278697012888731648","https://twitter.com/dsunderhood/status/1278697012888731648","Идея в общем-то простая. У нас есть документы, есть темы. В темах своё распределение слов. В документах своё распределение тем. Получается документ создаётся семплированием тем, из которых семплируются слова. И надо вот параметры этих распределений определить.","2020-07-02 14:28 +0000","726.0","5.0","0.006887052341597796","0.0","1.0","2.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278694929758330880","https://twitter.com/dsunderhood/status/1278694929758330880","Учитывая что я успел узреть чудеса байесианства, как каким-то образом из нескольких строчек семплирования всякого шума в цикле вдруг восстанавливаются параметры процесса из данных, так вообще.","2020-07-02 14:20 +0000","730.0","3.0","0.00410958904109589","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278694310360252416","https://twitter.com/dsunderhood/status/1278694310360252416","И тогда же на пике моды было LDA. И следующий проект был связан с текстами. Поэтому просто судьбой мне было предначертано везде его использовать.","2020-07-02 14:17 +0000","737.0","4.0","0.005427408412483039","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278694139622764555","https://twitter.com/dsunderhood/status/1278694139622764555","У меня был крутой тимлид, когда я резко из продаж микросхем перекатился в датасаенс и стал джуном. Вот он мне привил любовь к процессам Дирихле. Это такое испытательное было.","2020-07-02 14:16 +0000","623.0","8.0","0.012841091492776886","0.0","1.0","3.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278692333018591232","https://twitter.com/dsunderhood/status/1278692333018591232","Но в плане извлечения признаков из неевклидовых данных часто работают как раз вот эти штуки. ТМ тоже про это. Он и в рекомендациях тащит.","2020-07-02 14:09 +0000","639.0","2.0","0.003129890453834116","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278691913282064384","https://twitter.com/dsunderhood/status/1278691913282064384","Давайте я просто про свой опыт тогда расскажу. Слово ""старомодное"" -- это дисклеймер. Большую часть задач сейчас решают одной толстой нейронкой, а не всеми этими трюками.","2020-07-02 14:08 +0000","600.0","5.0","0.008333333333333333","0.0","1.0","2.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278691384267063298","https://twitter.com/dsunderhood/status/1278691384267063298","Лидируют грязные хаки и всё с самого начала. Я так понимаю -- это два совершенно противоположных лагеря: прожжённые нлпшники и те, кто текстами (почти) не занимался.","2020-07-02 14:05 +0000","570.0","11.0","0.01929824561403509","0.0","1.0","2.0","2.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278658027684597767","https://twitter.com/dsunderhood/status/1278658027684597767","Что-то мало за TM. Но я про него всё равно расскажу. https://t.co/edTGA0W2FL","2020-07-02 11:53 +0000","5510.0","627.0","0.11379310344827587","3.0","2.0","19.0","19.0","1.0","0.0","88.0","0.0","0","0","0","0","0","495","495","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278629307393495040","https://twitter.com/dsunderhood/status/1278629307393495040","Тут я бы хотел понять аудиторию лучше. NLP это уже не такая экзотика как графы, и может быть вам не сильно интересно. О чём больше рассказать?","2020-07-02 09:59 +0000","2142.0","93.0","0.04341736694677871","1.0","1.0","4.0","8.0","0.0","0.0","18.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278628740776558595","https://twitter.com/dsunderhood/status/1278628740776558595","По плану у нас старомодное NLP. Я в основном занимался тематическим моделированием плотно. Весь 2019-й прошёл мимо меня. С другой стороны я не застал rule-based системы и всё такое, что было в моде до word2vec и подобных штук.","2020-07-02 09:57 +0000","5666.0","169.0","0.02982703847511472","0.0","1.0","13.0","32.0","0.0","0.0","123.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278349801894051841","https://twitter.com/dsunderhood/status/1278349801894051841","@minakes_mozhga Среда.
https://t.co/9ruLrn1fKc","2020-07-01 15:28 +0000","81.0","26.0","0.32098765432098764","0.0","1.0","1.0","0.0","22.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278296095936954369","https://twitter.com/dsunderhood/status/1278296095936954369","Твиттер ужасно кропает изображения, но я просто должен напомнить вам, какой сегодня день. С понедельника готовился. https://t.co/HUBcHPS4ez","2020-07-01 11:55 +0000","5817.0","1179.0","0.20268179473955647","4.0","0.0","44.0","24.0","4.0","0.0","162.0","0.0","0","0","0","0","0","941","941","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
